iteration,loss
0,10.991735458374023
1000,7.480067729949951
2000,6.908868789672852
3000,6.665477275848389
4000,6.731442451477051
5000,6.138665199279785
6000,6.448182106018066
7000,6.388500690460205
8000,5.991471290588379
9000,5.765886306762695
10000,5.929913520812988
11000,5.734824180603027
12000,6.006805896759033
13000,5.773974418640137
14000,6.140919208526611
15000,6.1487531661987305
16000,5.759283065795898
17000,5.655055522918701
18000,5.8128767013549805
19000,5.931665420532227
20000,5.614362716674805
21000,5.667680263519287
22000,5.462813377380371
23000,5.835081100463867
24000,5.305374622344971
25000,5.567510604858398
26000,5.647388935089111
27000,5.381258487701416
28000,5.4193115234375
29000,5.366056442260742
30000,5.245703220367432
31000,5.231866836547852
32000,5.676980018615723
33000,5.449319362640381
34000,5.234447956085205
35000,4.739360809326172
36000,5.608980655670166
37000,4.469468593597412
38000,5.344180107116699
39000,4.316879749298096
40000,5.073410987854004
41000,4.488824844360352
42000,5.3491692543029785
43000,5.179673194885254
44000,5.290550231933594
45000,4.930902004241943
46000,5.000809669494629
47000,4.950005054473877
48000,4.6106648445129395
49000,4.5356950759887695
50000,5.491381645202637
51000,5.091170787811279
52000,5.145509719848633
53000,5.353619575500488
54000,4.860136985778809
55000,4.762938976287842
56000,5.015162944793701
57000,5.4335222244262695
58000,4.8858537673950195
59000,4.730424880981445
60000,4.97025728225708
61000,5.027907371520996
62000,4.895662784576416
63000,5.131662845611572
64000,5.356184005737305
65000,4.636070251464844
66000,4.890911102294922
67000,4.788898468017578
68000,4.5733323097229
69000,4.584717750549316
70000,5.122506618499756
71000,4.331875801086426
72000,4.787023544311523
73000,4.421965599060059
74000,4.468845844268799
75000,4.248104572296143
76000,5.034562587738037
77000,3.9626476764678955
78000,4.544297695159912
79000,4.921025276184082
80000,4.793185234069824
81000,4.254439830780029
82000,4.9001264572143555
83000,4.665491104125977
84000,4.858479976654053
85000,4.170510768890381
86000,5.25734281539917
87000,4.227642059326172
88000,4.891702651977539
89000,3.7306833267211914
